Num,Timestamp,Current_J0,Temperature_T0,Speed_J0,Tool_current,cycle ,grip_lost
1,2022-10-26T08:17:21.847Z,0.109627604,27.875,0.295565099,0.082731843,1,FALSE
2,2022-10-26T08:17:22.852Z,0.595605195,27.875,-7.39E-30,0.505894959,1,FALSE
3,2022-10-26T08:17:23.857Z,-0.229473799,27.875,0.136938602,0.07942003,1,FALSE
4,2022-10-26T08:17:24.863Z,0.06505318,27.875,-0.090300322,0.083325386,1,FALSE
5,2022-10-26T08:17:25.877Z,0.884140253,27.875,0.126808792,0.086378753,1,FALSE
6,2022-10-26T08:17:26.885Z,0.118960559,27.8125,-4.64E-05,0.188309669,1,FALSE
7,2022-10-26T08:17:27.901Z,0.086137913,27.875,0,0.085191846,1,FALSE
8,2022-10-26T08:17:28.903Z,0.075656995,27.875,0,0.087058365,1,FALSE
9,2022-10-26T08:17:29.905Z,-0.186848357,27.875,-0.16600357,0.085785329,1,FALSE
10,2022-10-26T08:17:30.909Z,-0.158912256,27.875,0.09832304,0.085019588,1,FALSE
11,2022-10-26T08:17:31.909Z,1.014086485,27.875,0.002559032,0.078826606,1,FALSE
12,2022-10-26T08:17:32.924Z,-0.401867747,27.875,-0.238060281,0.093337595,1,FALSE
13,2022-10-26T08:17:33.929Z,-0.888249159,27.875,0.102189675,0.082645774,1,FALSE
14,2022-10-26T08:17:34.936Z,-0.048897684,27.875,0,0.083153129,1,FALSE
15,2022-10-26T08:17:35.950Z,0.29831332,27.875,0.181756839,0.086972296,1,FALSE
16,2022-10-26T08:17:36.954Z,-0.09025079,27.875,0,0.087651789,1,FALSE
17,2022-10-26T08:17:37.954Z,-0.056929067,27.875,0,0.172946811,1,FALSE
18,2022-10-26T08:17:38.964Z,-0.075597793,27.875,-0.294959307,0.086464942,1,FALSE
19,2022-10-26T08:17:39.964Z,0.565559924,27.875,0.001012215,0.08391881,1,FALSE
20,2022-10-26T08:17:40.967Z,-0.177748024,27.9375,-0.021950385,0.083239198,1,FALSE
21,2022-10-26T08:17:41.975Z,-0.161906525,27.875,0,0.08391881,1,FALSE
